,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
7390,"unfortunately, the pricing of our items is dynamic, due to the way the algorithm we use works.",purchase_dispute,bad_price_competitor,customer,"hi there, i'm having trouble logging in! i can't remember my username",hi there im having trouble logging in i cant remember my username,hi there im having trouble logging in i cant remember my username,70,unfortunately the pricing of our items is dynamic due to the way the algorithm we use works
7391,i agree.,purchase_dispute,bad_price_competitor,customer,albert sanders,albert sanders,albert sanders,211,i agree
7392,i can offer you a promo code for your next purchase.,purchase_dispute,bad_price_competitor,customer,sure thing,sure thing,sure thing,17,i can offer you a promo code for your next purchase
7393,it is tfmpl and it is for 20% off.,purchase_dispute,bad_price_competitor,customer,my zip is <zip_code>,my zip is zip_code,my zip is zip_code,56,it is tfmpl and it is for  off
7394,you're welcome.,purchase_dispute,bad_price_competitor,customer,and my phone is <phone>,and my phone is phone,and my phone is phone,20,youre welcome
7395,can i help with anything else?,purchase_dispute,bad_price_competitor,customer,"great, thank you!",great thank you,great thank you,248,can i help with anything else
7396,thanks. have a good day!,purchase_dispute,bad_price_competitor,customer,that's all,thats all,thats all,75,thanks have a good day
7397,one moment please.,product_defect,return_size,customer,i would like to know the status of my subscription,i would like to know the status of my subscription,i would like to know the status of my subscription,199,one moment please
7398,what is your user id?,product_defect,return_size,customer,alessandro phoenix,alessandro phoenix,alessandro phoenix,28,what is your user id
7399,what is your email and your order id?,product_defect,return_size,customer,<account_id>,account_id,account_id,176,what is your email and your order id
7400,what is your membership level?,product_defect,return_size,customer,<order_id>,order_id,order_id,3,what is your membership level
7401,"as a gold member, you have unlimited returns.  would you like to return the item by mail, in store, or at a drop off location?",product_defect,return_size,customer,the due date,the due date,the due date,175,as a gold member you have unlimited returns would you like to return the item by mail in store or at a drop off location
7402,what is your address?  it will be used to make a shipping label.,product_defect,return_size,customer,i would like to pay now,i would like to pay now,i would like to pay now,275,what is your address it will be used to make a shipping label
7403,a shipping label has been created.  just send the item back in the mail.  is there anything else you need help with?,product_defect,return_size,customer,yes,yes,yes,183,a shipping label has been created just send the item back in the mail is there anything else you need help with
7404,have a nice day!,product_defect,return_size,customer,thank you,thank you,thank you,2,have a nice day
7405,hello! thank you for shopping with acmebrands. how may i assist you?,account_access,recover_username,customer,i signed up for a premium subscription shopping service and i want to make sure it is active,i signed up for a premium subscription shopping service and i want to make sure it is active,i signed up for a premium subscription shopping service and i want to make sure it is active,194,hello thank you for shopping with acmebrands how may i assist you
7406,"i'll be glad to help you with that. may i get your full name, please?",account_access,recover_username,customer,chloe zhang,chloe zhang,chloe zhang,9,ill be glad to help you with that may i get your full name please
7407,"to help me verify your identity, would you please provide your zip code, phone number, and email address? two out of those three options would be fine.",account_access,recover_username,customer,<account_id>,account_id,account_id,176,to help me verify your identity would you please provide your zip code phone number and email address two out of those three options would be fine
